Date,Open,High,Low,Close
21-May-2003,646.82,651.46,627.05,628.64,
22-May-2003,627.95,629.85,611.04,613.13,
23-May-2003,617.52,620.21,601.17,606.52,
26-May-2003,607.32,612.46,601.56,608.13,
27-May-2003,610.89,622.56,602.17,604.19,
28-May-2003,610.89,629.89,610.89,628.37,
29-May-2003,631.98,639.84,626.35,632.29,
30-May-2003,636.85,640.08,620.35,622.57,
2-June-2003,631.56,647.40,628.36,644.76,
3-June-2003,648.16,651.38,638.35,639.86,
4-June-2003,644.38,650.81,643.17,646.71,
5-June-2003,656.05,668.77,656.05,662.99,
6-June-2003,667.77,677.72,663.54,673.99,
9-June-2003,668.11,674.29,662.42,672.77,
10-June-2003,667.03,672.73,652.70,653.70,
11-June-2003,653.74,672.63,653.74,664.51,
12-June-2003,669.52,675.55,669.52,673.34,
13-June-2003,675.76,684.28,675.59,677.55,
16-June-2003,674.18,676.69,667.91,672.67,
17-June-2003,684.42,697.45,684.42,696.67,
18-June-2003,699.66,701.67,694.50,696.43,
19-June-2003,694.01,697.98,689.52,692.32,
20-June-2003,682.95,693.04,679.94,688.93,
23-June-2003,691.47,699.02,687.11,688.91,
24-June-2003,683.79,695.02,683.64,689.90,
25-June-2003,694.67,699.24,694.67,696.22,
26-June-2003,699.93,713.79,699.93,712.81,
27-June-2003,721.46,726.70,716.78,725.15,
30-June-2003,724.80,735.01,721.90,725.38,
1-July-2003,727.86,734.30,725.20,729.29,
2-July-2003,734.08,737.05,715.40,717.22,
3-July-2003,728.37,731.63,686.62,713.32,
4-July-2003,710.43,712.49,698.14,707.36,
7-July-2003,707.82,710.18,698.77,707.03,
8-July-2003,714.68,728.16,708.27,725.90,
9-July-2003,727.38,733.49,719.50,724.44,
10-July-2003,750.88,793.79,750.88,785.64,
11-July-2003,782.90,782.90,764.89,768.86,
14-July-2003,777.69,781.16,764.53,766.71,
15-July-2003,753.64,762.16,738.02,745.87,
16-July-2003,751.55,761.30,747.51,756.89,
17-July-2003,763.03,766.84,745.91,748.50,
18-July-2003,728.76,742.80,727.74,738.46,
21-July-2003,745.74,749.23,714.88,717.02,
22-July-2003,711.29,733.04,709.77,731.50,
23-July-2003,738.66,753.34,738.66,751.55,
24-July-2003,759.41,771.88,751.99,770.40,
25-July-2003,770.25,781.68,764.01,778.09,
28-July-2003,787.53,799.84,785.65,791.30,
29-July-2003,787.41,792.27,778.45,790.53,
30-July-2003,789.34,796.69,785.69,788.71,
31-July-2003,791.38,807.55,786.79,794.46,
1-August-2003,804.24,829.06,804.24,824.81,
4-August-2003,818.36,827.64,815.94,822.11,
5-August-2003,832.29,836.66,810.67,813.02,
6-August-2003,801.60,803.96,780.19,785.60,
7-August-2003,787.25,796.75,784.44,788.34,
8-August-2003,792.85,800.10,787.92,797.94,
11-August-2003,789.46,796.63,785.25,788.10,
12-August-2003,791.69,797.57,776.86,778.72,
13-August-2003,784.05,788.72,773.90,780.03,
14-August-2003,780.85,785.17,770.49,777.29,
18-August-2003,782.48,799.63,780.70,793.74,
19-August-2003,801.25,814.21,798.07,803.38,
20-August-2003,810.79,827.96,810.79,824.84,
21-August-2003,829.57,842.61,829.57,840.67,
22-August-2003,844.27,852.11,828.60,835.54,
25-August-2003,838.74,847.55,780.18,805.13,
26-August-2003,808.81,840.63,808.81,837.07,
27-August-2003,842.92,861.81,842.92,859.29,
28-August-2003,871.81,887.50,863.14,882.75,
29-August-2003,891.18,900.41,875.65,879.84,
1-September-2003,885.52,892.56,881.46,890.55,
2-September-2003,893.90,900.93,878.88,894.03,
3-September-2003,906.58,912.65,875.75,879.34,
4-September-2003,885.59,933.95,885.31,930.45,
5-September-2003,940.27,943.94,928.56,941.74,
8-September-2003,947.84,962.46,945.55,950.35,
9-September-2003,964.24,978.57,954.62,967.46,
10-September-2003,959.88,959.88,936.06,947.98,
11-September-2003,940.23,950.50,929.88,934.61,
12-September-2003,942.75,950.08,909.95,912.30,
15-September-2003,913.61,913.88,879.17,883.56,
16-September-2003,883.97,922.31,874.75,914.95,
17-September-2003,932.86,942.96,922.55,925.66,
18-September-2003,928.90,930.89,905.69,911.87,
19-September-2003,925.17,927.92,901.56,923.35,
22-September-2003,927.62,932.56,919.49,921.20,
23-September-2003,914.26,926.92,905.40,924.26,
24-September-2003,929.58,964.66,926.52,962.74,
25-September-2003,953.39,961.43,948.00,956.80,
26-September-2003,958.91,993.18,958.91,987.95,
29-September-2003,991.57,1001.01,982.77,987.63,
30-September-2003,997.42,1006.50,991.93,1002.77,
1-October-2003,998.30,1011.64,993.30,999.87,
3-October-2003,1009.70,1017.33,995.15,999.33,
6-October-2003,1010.98,1014.03,995.23,1003.89,
7-October-2003,1008.38,1014.83,990.93,993.01,
8-October-2003,999.02,1005.17,972.81,986.07,
9-October-2003,990.66,1003.07,985.21,994.61,
10-October-2003,1018.76,1040.40,1008.49,1035.04,
13-October-2003,1048.47,1066.02,1048.47,1060.47,
14-October-2003,1063.64,1071.01,1034.21,1038.11,
15-October-2003,1043.15,1057.01,1028.34,1054.19,
16-October-2003,1058.94,1059.52,1035.23,1040.57,
17-October-2003,1051.79,1071.70,1050.26,1069.52,
