Date,Open,High,Low,Close
26-Nov-08,,,,1256.14
27-Nov-08,,,,1256.14
28-Nov-08,,,,1271.93
01-Dec-08,,,,1244.27
02-Dec-08,,,,1262.05
03-Dec-08,,,,1245.82
04-Dec-08,,,,1294.67
05-Dec-08,,,,1269.7
08-Dec-08,,,,1329.34
10-Dec-08,,,,1409.11
11-Dec-08,,,,1432.48
12-Dec-08,,,,1424.03
15-Dec-08,,,,1439.64
16-Dec-08,,,,1440.02
17-Dec-08,,,,1350.57
18-Dec-08,,,,1366.14
19-Dec-08,,,,1385.69
22-Dec-08,,,,1379.78
23-Dec-08,,,,1366.8
24-Dec-08,,,,1327.32
26-Dec-08,,,,1319.94
29-Dec-08,,,,1360.36
30-Dec-08,,,,1400.41
31-Dec-08,,,,1390.98
01-Jan-09,,,,1424.39
02-Jan-09,,,,1414.32
05-Jan-09,,,,1413.52
06-Jan-09,,,,1360.33
07-Jan-09,,,,1282.25
09-Jan-09,,,,1233.91
12-Jan-09,,,,1207.58
13-Jan-09,,,,1168.48
14-Jan-09,,,,1216.75
15-Jan-09,,,,1169.42
16-Jan-09,,,,1217.5
19-Jan-09,,,,1236.32
20-Jan-09,,,,1186.02
21-Jan-09,,,,1135.16
22-Jan-09,,,,1172.01
23-Jan-09,,,,1157.55
27-Jan-09,,,,1213.88
28-Jan-09,,,,1220.92
29-Jan-09,,,,1184.15
30-Jan-09,,,,1207.84
02-Feb-09,,,,1172.04
03-Feb-09,,,,1184.67
04-Feb-09,,,,1198.12
05-Feb-09,,,,1184.63
06-Feb-09,,,,1211.53
09-Feb-09,,,,1238.02
10-Feb-09,,,,1241.87
11-Feb-09,,,,1258.64
12-Feb-09,,,,1236.73
13-Feb-09,,,,1259.77
16-Feb-09,,,,1220.62
17-Feb-09,,,,1197.64
18-Feb-09,,,,1202.71
19-Feb-09,,,,1215.83
20-Feb-09,,,,1195.62
24-Feb-09,,,,1192.66
25-Feb-09,,,,1198.17
26-Feb-09,,,,1213.99
27-Feb-09,,,,1187.89
02-Mar-09,,,,1150.59
03-Mar-09,,,,1120.65
04-Mar-09,,,,1120.42
05-Mar-09,,,,1100.54
06-Mar-09,,,,1119.28
09-Mar-09,,,,1089.45
12-Mar-09,,,,1054.39
13-Mar-09,,,,1082.53
16-Mar-09,,,,1117.48
17-Mar-09,,,,1113.54
18-Mar-09,,,,1117.97
19-Mar-09,,,,1117.24
20-Mar-09,,,,1119.44
23-Mar-09,,,,1173.46
24-Mar-09,,,,1173.54
25-Mar-09,,,,1170.72
26-Mar-09,,,,1210.46
27-Mar-09,,,,1237.2
30-Mar-09,,,,1192.61
31-Mar-09,,,,1221.37
01-Apr-09,,,,1216.8
02-Apr-09,,,,1272.41
06-Apr-09,,,,1330.65
08-Apr-09,,,,1338.92
09-Apr-09,,,,1345.9
13-Apr-09,,,,1350.15
15-Apr-09,,,,1397.15
16-Apr-09,,,,1346.73
17-Apr-09,,,,1359.68
20-Apr-09,,,,1377.52
21-Apr-09,,,,1419.13
22-Apr-09,,,,1397.48
